Source,Target,Type,Id,Label,Weight
ASF,KZN,Directed,1382400,,1
ASF,MRV,Directed,1382401,,1
CEK,KZN,Directed,1382402,,1
CEK,OVB,Directed,1382403,,2
DME,KZN,Directed,1382404,,4
DME,NBC,Directed,1382405,,1
DME,TGK,Directed,1382406,,1
DME,UUA,Directed,1382407,,1
EGO,KGD,Directed,1382408,,1
EGO,KZN,Directed,1382409,,1
GYD,NBC,Directed,1382410,,1
KGD,EGO,Directed,1382411,,1
KZN,AER,Directed,1382412,,1
KZN,ASF,Directed,1382413,,1
KZN,CEK,Directed,1382414,,1
KZN,DME,Directed,1382415,,4
KZN,EGO,Directed,1382416,,1
KZN,LED,Directed,1382417,,3
KZN,SVX,Directed,1382418,,1
LED,KZN,Directed,1382419,,3
LED,NBC,Directed,1382420,,1
LED,UUA,Directed,1382421,,1
MRV,ASF,Directed,1382422,,1
NBC,DME,Directed,1382423,,1
NBC,GYD,Directed,1382424,,1
NBC,LED,Directed,1382425,,1
NBC,SVX,Directed,1382426,,1
NJC,SVX,Directed,1382427,,2
NJC,UUA,Directed,1382428,,2
NUX,SVX,Directed,1382429,,2
OVB,CEK,Directed,1382430,,2
OVB,SVX,Directed,1382431,,5
SVX,KZN,Directed,1382432,,1
SVX,NBC,Directed,1382433,,1
SVX,NJC,Directed,1382434,,2
SVX,NUX,Directed,1382435,,2
SVX,OVB,Directed,1382436,,5
TGK,DME,Directed,1382437,,1
UUA,DME,Directed,1382438,,1
UUA,LED,Directed,1382439,,1
UUA,NJC,Directed,1382440,,2
BTK,IKT,Directed,1382441,,1
BTK,OVB,Directed,1382442,,1
HTA,IKT,Directed,1382444,,2
IKT,BTK,Directed,1382445,,1
IKT,HTA,Directed,1382446,,2
IKT,KCK,Directed,1382447,,1
IKT,ODO,Directed,1382448,,2
IKT,OVB,Directed,1382449,,3
IKT,UKX,Directed,1382450,,2
IKT,ULK,Directed,1382451,,3
IKT,YKS,Directed,1382452,,3
KCK,IKT,Directed,1382453,,1
MJZ,OVB,Directed,1382454,,2
ODO,IKT,Directed,1382455,,2
OVB,BTK,Directed,1382456,,1
OVB,IKT,Directed,1382458,,3
UKX,IKT,Directed,1382459,,2
ULK,IKT,Directed,1382460,,3
YKS,IKT,Directed,1382461,,3
AYP,LIM,Directed,1382462,,2
CUZ,LIM,Directed,1382463,,4
CUZ,PEM,Directed,1382464,,2
HUU,LIM,Directed,1382465,,2
IQT,PCL,Directed,1382466,,2
IQT,TPP,Directed,1382467,,2
LIM,AYP,Directed,1382468,,2
LIM,CUZ,Directed,1382469,,5
LIM,HUU,Directed,1382470,,2
LIM,PCL,Directed,1382471,,3
LIM,TPP,Directed,1382472,,3
PCL,IQT,Directed,1382473,,2
PCL,LIM,Directed,1382474,,3
PCL,TPP,Directed,1382475,,1
PEM,CUZ,Directed,1382476,,2
TPP,IQT,Directed,1382477,,2
TPP,LIM,Directed,1382478,,3
TPP,PCL,Directed,1382479,,1
ABJ,BOY,Directed,1382480,,1
ABJ,OUA,Directed,1382481,,7
ACC,OUA,Directed,1382482,,1
BKO,ABJ,Directed,1382483,,3
BKO,DKR,Directed,1382484,,5
BKO,OUA,Directed,1382485,,3
BOY,ABJ,Directed,1382486,,1
BOY,OUA,Directed,1382487,,1
COO,LFW,Directed,1382488,,3
COO,OUA,Directed,1382489,,1
DKR,BKO,Directed,1382490,,5
DKR,OUA,Directed,1382491,,1
LFW,OUA,Directed,1382492,,2
NIM,OUA,Directed,1382493,,8
OUA,ABJ,Directed,1382494,,7
OUA,ACC,Directed,1382495,,1
OUA,BKO,Directed,1382496,,3
OUA,BOY,Directed,1382497,,1
OUA,COO,Directed,1382498,,1
OUA,DKR,Directed,1382499,,1
OUA,LFW,Directed,1382500,,2
OUA,NIM,Directed,1382501,,7
BOG,GYE,Directed,1382502,,2
BOG,UIO,Directed,1382503,,4
CLO,GYE,Directed,1382504,,2
GYE,BOG,Directed,1382505,,2
GYE,CLO,Directed,1382506,,2
GYE,SCY,Directed,1382507,,4
GYE,UIO,Directed,1382508,,5
OCC,UIO,Directed,1382509,,2
SCY,GYE,Directed,1382510,,4
UIO,BOG,Directed,1382511,,4
UIO,GYE,Directed,1382512,,8
UIO,OCC,Directed,1382513,,2
BDS,ZRH,Directed,1382514,,3
BOD,ZRH,Directed,1382515,,1
BRS,ZRH,Directed,1382516,,1
GVA,LPA,Directed,1382517,,1
LCA,ZRH,Directed,1382518,,3
LPA,ZRH,Directed,1382519,,3
RMF,ZRH,Directed,1382520,,3
TFS,GVA,Directed,1382521,,2
ZRH,BDS,Directed,1382522,,3
ZRH,BOD,Directed,1382523,,1
ZRH,BRS,Directed,1382524,,1
ZRH,LCA,Directed,1382525,,3
ZRH,LPA,Directed,1382526,,3
ZRH,RMF,Directed,1382527,,3
AJR,LYC,Directed,1382528,,2
ARN,GEV,Directed,1382529,,2
ARN,HAD,Directed,1382530,,1
ARN,JKG,Directed,1382531,,1
ARN,KRF,Directed,1382532,,2
ARN,KSD,Directed,1382533,,1
ARN,LYC,Directed,1382534,,2
ARN,MHQ,Directed,1382535,,1
ARN,OER,Directed,1382536,,1
ARN,POR,Directed,1382537,,1
ARN,TRF,Directed,1382538,,1
ARN,VBY,Directed,1382539,,2
ARN,VHM,Directed,1382540,,2
ARN,VXO,Directed,1382541,,1
GEV,ARN,Directed,1382542,,2
GEV,KRF,Directed,1382543,,2
HAD,ARN,Directed,1382544,,1
HAD,JKG,Directed,1382545,,1
HAD,VXO,Directed,1382546,,2
HMV,VHM,Directed,1382547,,2
JKG,ARN,Directed,1382548,,1
JKG,HAD,Directed,1382549,,1
KOK,POR,Directed,1382550,,1
KRF,ARN,Directed,1382551,,2
KRF,GEV,Directed,1382552,,2
KSD,ARN,Directed,1382553,,1
LYC,AJR,Directed,1382554,,2
LYC,ARN,Directed,1382555,,2
MHQ,ARN,Directed,1382556,,1
MHQ,TKU,Directed,1382557,,1
OER,ARN,Directed,1382558,,1
OSL,VXO,Directed,1382559,,1
POR,ARN,Directed,1382560,,1
POR,KOK,Directed,1382561,,1
TKU,MHQ,Directed,1382562,,1
TRF,ARN,Directed,1382563,,1
VBY,ARN,Directed,1382564,,2
VHM,ARN,Directed,1382565,,2
VHM,HMV,Directed,1382566,,2
VXO,ARN,Directed,1382567,,2
VXO,OSL,Directed,1382568,,1
ADQ,AOS,Directed,1382569,,1
ADQ,KKB,Directed,1382570,,1
ADQ,KLN,Directed,1382571,,1
ADQ,KOZ,Directed,1382572,,2
ADQ,OLH,Directed,1382573,,2
AOS,KZB,Directed,1382574,,1
KKB,SYB,Directed,1382575,,1
KLN,KYK,Directed,1382576,,1
KOZ,ORI,Directed,1382577,,1
SYB,KPR,Directed,1382578,,1
BSO,MNL,Directed,1382579,,2
BXU,MNL,Directed,1382580,,3
CBO,MNL,Directed,1382581,,3
CGY,MNL,Directed,1382582,,3
CRM,MNL,Directed,1382583,,2
DGT,MNL,Directed,1382584,,3
DWC,MNL,Directed,1382585,,2
GES,MNL,Directed,1382586,,3
KLO,MNL,Directed,1382587,,6
LGP,MNL,Directed,1382588,,3
MNL,BSO,Directed,1382589,,2
MNL,BXU,Directed,1382590,,3
MNL,CBO,Directed,1382591,,3
MNL,CGY,Directed,1382592,,3
MNL,CRM,Directed,1382593,,2
MNL,DGT,Directed,1382594,,3
MNL,DWC,Directed,1382595,,2
MNL,GES,Directed,1382596,,3
MNL,KLO,Directed,1382597,,6
MNL,LGP,Directed,1382598,,3
MNL,MPH,Directed,1382599,,3
MNL,OZC,Directed,1382600,,3
MNL,PPS,Directed,1382601,,5
MNL,RXS,Directed,1382602,,3
MNL,SUG,Directed,1382603,,2
MNL,TUG,Directed,1382604,,3
MNL,ZAM,Directed,1382605,,3
MPH,MNL,Directed,1382606,,3
OZC,MNL,Directed,1382607,,3
